,annotation_index,index,sentence,label,gender,A1,A2,A3,keep,agreement,correct,incorrect,
329,329,736,"Flavorful and romantic , you could call this How Martha Got Her Groove Back -- assuming , that is , she ever had one to begin with .",0.69,femm,1,1,1,True,3,3,0,
330,330,1031,Davis ... is so enamored of her own creation that she ca n't see how insufferable the character is .,0.24,femm,1,1,1,True,3,3,0,
331,331,4280,"Bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly .",0.24,femm,1,1,1,True,3,3,0,
332,332,5807,"( Janey ) forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies .",0.24,femm,1,1,1,True,3,3,0,
334,334,2861,"Frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him .",0.74,masc,0,1,1,True,2,2,1,
335,335,370,"This method almost never fails him , and it works superbly here .",0.82,masc,1,1,1,True,3,3,0,
336,336,8225,"his ( Nelson 's ) screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting matches about it .",0.31,masc,1,1,1,True,3,3,0,
337,337,7009,"Richard Pryor mined his personal horrors and came up with a treasure chest of material , but Lawrence gives us mostly fool 's gold .",0.28,masc,1,0,1,True,2,2,1,
338,338,5448,"... Tara Reid plays a college journalist , but she looks like the six-time winner of the Miss Hawaiian Tropic Pageant , so I do n't know what she 's doing in here ...",0.35,femm,1,1,1,True,3,3,0,
339,339,3838,"From both a great and a terrible story , Mr. Nelson has made a film that is an undeniably worthy and devastating experience .",0.64,masc,1,1,1,True,3,3,0,
340,340,2132,"Even if Britney Spears is really cute , her movie is really bad .",0.28,femm,1,0,1,True,2,2,1,
341,341,6091,"Goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but she and writing partner Laurence Coriat do n't manage an equally assured narrative coinage .",0.78,femm,1,0,1,True,2,2,1,
342,342,880,Alan and his fellow survivors are idiosyncratic enough to lift the movie above its playwriting 101 premise .,0.62,masc,1,1,1,True,3,3,0,
343,343,6012,It 's obvious ( Je-Gyu is ) trying for poetry , what he gets instead has all the lyricism of a limerick scrawled in a public restroom .,0.42,masc,1,1,1,True,3,3,0
344,344,3221,"a bilingual charmer , just like the woman who inspired it",0.69,femm,0,1,1,True,2,2,1,
345,345,5718,"In the real world , an actor this uncharismatically beautiful would have a rÃ©sumÃ© loaded with credits like `` Girl in Bar # 3 . ''",0.36,femm,1,0,1,True,2,2,1,
346,346,3046,His work transcends the boy-meets-girl posturing of typical love stories .,0.76,masc,1,0,1,True,2,2,1,
347,347,5196,Schneidermeister ... Makin ' a fool of himself ... Losin ' his fan base ...,0.29,masc,1,1,1,True,3,3,0,
348,348,1508,So vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted Rembrandt .,0.82,femm,0,1,1,True,2,2,1,
349,349,195,"My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts .",0.78,femm,1,1,1,True,3,3,0,
350,350,2888,"Ourside the theatre Roger might be intolerable company , but inside it he 's well worth spending some time with .",0.85,masc,1,0,1,True,2,2,1,
351,351,3336,Savvy director Robert J. Siegel and his co-writers keep the story subtle and us in suspense .,0.68,masc,1,1,1,True,3,3,0,
352,352,1325,"Davis is funny , charming and quirky in her feature film acting debut as Amy .",0.75,femm,1,1,1,True,3,3,0,
355,355,6757,But his showboating wise-cracker stock persona sure is getting old .,0.4,masc,1,1,1,True,3,3,0,
358,358,729,Caviezel embodies the transformation of his character completely .,0.78,masc,1,1,1,True,3,3,0,
359,359,5533,"Egoyan 's work often elegantly considers various levels of reality and uses shifting points of view , but here he has constructed a film so labyrinthine that it defeats his larger purpose .",0.4,masc,1,0,1,True,2,2,1,
360,360,7328,"Welles groupie\/scholar Peter Bogdanovich took a long time to do it , but he 's finally provided his own broadside at publishing giant William Randolph Hearst .",0.61,masc,1,0,1,True,2,2,1,
362,362,1398,Salma goes native and she 's never been better in this colorful bio-pic of a Mexican icon .,0.83,femm,1,1,1,True,3,3,0,
364,364,5105,"Mr. Goyer 's loose , unaccountable direction is technically sophisticated in the worst way .",0.17,masc,1,1,1,True,3,3,0,
365,365,1265,"As if trying to grab a lump of Play-Doh , the harder that Liman tries to squeeze his story , the more details slip out between his fingers .",0.26,masc,1,1,1,True,3,3,0,
366,366,6570,"She 's not yet an actress , not quite a singer ...",0.42,femm,1,1,1,True,3,3,0,
368,368,4432,"The movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the Holocaust escape story , Minac drains his movie of all individuality .",0.38,masc,1,0,1,True,2,2,1,
370,370,8164,Barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull .,0.22,masc,1,0,1,True,2,2,1,
374,374,7608,"Ultimately , Jane learns her place as a girl , softens up and loses some of the intensity that made her an interesting character to begin with .",0.47,femm,1,1,1,True,3,3,0,
375,375,2160,( Newton ) wanders through CHARLIE completely unaware she needs to show some presence and star quality .,0.24,femm,1,1,1,True,3,3,0,
377,377,564,The best that can be said about the work here of Scottish director Ritchie ... is that he obviously does n't have his heart in it .,0.31,masc,1,1,1,True,3,3,0,
378,378,306,"For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .",0.64,masc,1,0,1,True,2,2,1,
380,380,4270,"It 's Tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .",0.26,femm,1,1,1,True,3,3,0,
385,385,2011,"However clever Nelson has been in providing variation within the confines of her structure and staging , the question remains whether this should , indeed , have been presented as a theatrical release .",0.49,femm,1,0,1,True,2,2,1,
386,386,2070,"In ( screenwriter ) Charlie Kaufman 's world , truth and fiction are equally strange , and his for the taking .",0.42,masc,1,1,1,True,3,3,0,
387,387,2224,"I do n't know if Frailty will turn Bill Paxton into an A-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie .",0.67,masc,1,1,1,True,3,3,0,
388,388,6835,"Director-chef Gabriele Muccino keeps it fast -- zippy , comin ' at ya -- as if fearing that his film is molto superficiale .",0.46,masc,1,1,1,True,3,3,0,
389,389,2698,"Lee 's achievement extends to his supple understanding of the role that Brown played in American culture as an athlete , a movie star , and an image of black indomitability .",0.62,masc,1,1,1,True,3,3,0,
390,390,320,"He just wants them to be part of the action , the wallpaper of his chosen reality .",0.61,masc,1,1,1,True,3,3,0,
392,392,2123,"The filmmakers wisely decided to let Crocodile Hunter Steve Irwin do what he does best , and fashion a story around him .",0.65,masc,0,1,1,True,2,2,1,
396,396,7005,"Demme gets a lot of flavor and spice into his Charade remake , but he ca n't disguise that he 's spiffing up leftovers that are n't so substantial or fresh .",0.31,masc,1,1,1,True,3,3,0,
402,402,4404,"( Carvey 's ) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .",0.18,masc,1,1,1,True,3,3,0,
404,404,4201,It 's a drag how Nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0.11,femm,1,1,0,True,2,2,1,
408,408,1766,Damon brings the proper conviction to his role as ( Jason Bourne ) .,0.69,masc,1,1,1,True,3,3,0,
409,409,5284,"Ze movie starts out so funny , then she is nothing .",0.58,femm,1,0,1,True,2,2,1,
410,410,1039,"Gooding is the energetic frontman , and it 's hard to resist his enthusiasm , even if the filmmakers come up with nothing original in the way of slapstick sequences .",0.64,masc,1,0,1,True,2,2,1,
411,411,1755,"The problem is that rather than dramatizing this premise , Mr. Desplechin is content to state it .",0.44,masc,1,1,1,True,3,3,0,
414,414,5856,"For the future , one hopes Mr. Plympton will find room for one more member of his little band , a professional screenwriter .",0.04,masc,0,1,1,True,2,2,1,
416,416,3787,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .,0.82,masc,1,1,1,True,3,3,0,
418,418,291,"Morton uses her face and her body language to bring us Morvern 's soul , even though the character is almost completely deadpan .",0.71,femm,1,1,1,True,3,3,0,
419,419,6065,A limp Eddie Murphy vehicle that even he seems embarrassed to be part of .,0.11,masc,1,0,1,True,2,2,1,
427,427,5320,"Once one experiences Mr. Haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else .",0.07,masc,1,1,1,True,3,3,0,
428,428,1230,But he loses his focus when he concentrates on any single person .,0.22,masc,1,1,1,True,3,3,0,
429,429,7060,Demme finally succeeds in diminishing his stature from Oscar-winning master to lowly studio hack .,0.39,masc,1,1,1,True,3,3,0,
430,430,508,"Though few will argue that it ranks with the best of Herzog 's works , Invincible shows he 's back in form , with an astoundingly rich film .",0.94,masc,1,1,1,True,3,3,0,
431,431,1412,But that 's just the problem with it - the director has n't added enough of his own ingredients .,0.38,masc,1,1,1,True,3,3,0,
433,433,3903,Campanella 's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over Rafael 's evolution .,0.72,masc,1,0,1,True,2,2,1,
434,434,1604,"With Spy Kids 2 : The Island of Lost Dreams , however , Robert Rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .",0.83,masc,1,1,1,True,3,3,0,
437,437,810,"You might not want to hang out with Samantha , but you 'll probably see a bit of yourself in her unfinished story .",0.64,femm,1,0,1,True,2,2,1,
439,439,2921,It 's clear that Mehta simply wanted to update her beloved genre for the thousands of Indians who fancy themselves too sophisticated for the cheese-laced spectacles that pack 'em in on the subcontinent .,0.49,femm,1,0,1,True,2,2,1,
441,441,5894,"Hardman is a grating , mannered onscreen presence , which is especially unfortunate in light of the fine work done by most of the rest of her cast .",0.42,femm,1,0,1,True,2,2,1,
443,443,5113,"Ignoring that , he made Swimfan anyway",0.32,masc,1,1,1,True,3,3,0,
447,447,1055,Majidi gets uniformly engaging performances from his largely amateur cast .,0.76,masc,1,0,1,True,2,2,1,
448,448,929,Japan 's premier stylist of sex and blood hits audiences with what may be his most demented film to date .,0.68,masc,1,1,1,True,3,3,0,
449,449,5542,"His best film remains his shortest , The Hole , which makes many of the points that this film does but feels less repetitive .",0.56,masc,1,0,1,True,2,2,1,
451,451,7899,"( Lee ) treats his audience the same way that Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects .",0.15,masc,1,0,1,True,2,2,1,
452,452,1887,"Liman , of Swingers and Go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0.29,masc,1,1,1,True,3,3,0,
456,456,3498,"Mostly , ( Goldbacher ) just lets her complicated characters be unruly , confusing and , through it all , human .",0.64,femm,1,1,1,True,3,3,0,
457,457,1423,"When Perry fists a bull at the Moore Farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",0.56,masc,1,1,1,True,3,3,0,
458,458,103,So refreshingly incisive is Grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the Hugh factor .,0.67,masc,1,1,0,True,2,2,1,
461,461,3453,"MacDowell ... gives give a solid , anguished performance that eclipses nearly everything else she 's ever done .",0.83,femm,1,1,1,True,3,3,0,
462,462,3985,"Maggie Smith as the Ya-Ya member with the O2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment .",0.83,femm,1,1,1,True,3,3,0,
463,463,837,"This is an egotistical endeavor from the daughter of horror director Dario Argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic .",0.74,femm,1,0,1,True,2,2,1,
464,464,364,It 's hard to imagine Alan Arkin being better than he is in this performance .,0.79,masc,1,1,1,True,3,3,0,
469,469,5188,Director Roger Michell does so many of the little things right that it 's difficult not to cuss him out severely for bungling the big stuff .,0.42,masc,1,0,1,True,2,2,1,
470,470,3736,Noyce creates a film of near-hypnotic physical beauty even as he tells a story as horrifying as any in the heart-breakingly extensive annals of white-on-black racism .,0.6,masc,1,1,1,True,3,3,0,
471,471,790,Her delivery and timing are flawless .,0.99,femm,1,1,1,True,3,3,0,
472,472,7518,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit .",0.22,masc,1,1,1,True,3,3,0,
475,475,4536,"Director Tom Dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut Shanghai Noon , but Showtime 's uninspired send-up of TV cop show cliches mostly leaves him shooting blanks .",0.71,masc,1,1,1,True,3,3,0,
477,477,5687,"Affleck merely creates an outline for a role he still needs to grow into , a role that Ford effortlessly filled with authority .",0.58,masc,1,0,1,True,2,2,1,
478,478,4922,"Feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .",0.31,masc,1,1,1,True,3,3,0,
480,480,5451,"I highly recommend Irwin , but not in the way this film showcases him .",0.58,masc,1,0,1,True,2,2,1,
483,483,4372,"As is often the case with ambitious , eager first-time filmmakers , Mr. Murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",0.35,masc,1,1,1,True,3,3,0,
485,485,1910,"( Hayek ) throws herself into this dream Hispanic role with a teeth-clenching gusto , she strikes a potent chemistry with Molina and she gradually makes us believe she is Kahlo .",0.85,femm,1,0,1,True,2,2,1,
486,486,926,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous , starring Piper Perabo in what could be her breakthrough role .",0.85,femm,1,0,1,True,2,2,1,
489,489,2049,The difference between Cho and most comics is that her confidence in her material is merited .,0.61,femm,1,1,1,True,3,3,0,
490,490,1241,"Despite her relentless vim and winsome facial symmetry , Witherspoon is just too dialed-up to be America 's Sweetheart .",0.4,femm,1,1,1,True,3,3,0,
491,491,7789,"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name",0.44,masc,1,0,1,True,2,2,1,
492,492,1165,He has not learnt that storytelling is what the movies are about .,0.19,masc,1,1,1,True,3,3,0,
493,493,1017,"It 's ( Ricci 's ) best work yet , this girl-woman who sincerely believes she can thwart the world 's misery with blind good will .",0.89,femm,1,1,1,True,3,3,0,
494,494,4664,"However stale the material , Lawrence 's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny .",0.6,masc,1,1,1,True,3,3,0,
496,496,6932,"About Amy 's cuteness , Amy 's career success ( she 's a best-selling writer of self-help books who ca n't help herself ) , and Amy 's neuroses when it comes to men .",0.5,femm,0,1,1,True,2,2,1,
497,497,6925,Is n't it a bit early in his career for director Barry Sonnenfeld to do a homage to himself ?,0.28,masc,1,1,1,True,3,3,0,
498,498,6735,"No cute factor here ... Not that I mind ugly ; the problem is he has no character , loveable or otherwise .",0.17,masc,1,1,1,True,3,3,0,
499,499,5147,"Jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability .",0.5,masc,1,0,1,True,2,2,1,
500,500,4318,"Bisset delivers a game performance , but she is unable to save the movie .",0.57,femm,1,1,1,True,3,3,0,
501,501,2540,Brosnan gives a portrayal as solid and as perfect as his outstanding performance as Bond in Die Another Day .,0.81,masc,1,1,1,True,3,3,0,
502,502,3171,He thinks the film is just as much a document about him as it is about the subject .,0.39,masc,0,1,1,True,2,2,1,
506,506,8243,"Birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters .",0.65,femm,1,1,1,True,3,3,0,
509,509,464,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",0.69,femm,1,1,1,True,3,3,0,
510,510,2187,See it for his performance if nothing else .,0.72,masc,1,1,1,True,3,3,0,
514,514,860,He does this so well you do n't have the slightest difficulty accepting him in the role .,0.86,masc,1,1,1,True,3,3,0,
515,515,198,"Without heavy-handedness , Dong provides perspective with his intelligent grasp of human foibles and contradictions .",0.75,masc,1,1,1,True,3,3,0,
516,516,5590,"Ms. Phoenix is completely lacking in charm and charisma , and is unable to project either Esther 's initial anomie or her eventual awakening .",0.11,femm,1,1,1,True,3,3,0,
517,517,2257,And he allows a gawky actor like Spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range .,0.79,masc,1,1,1,True,3,3,0,
518,518,5993,"Despite Hoffman 's best efforts , Wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before .",0.43,masc,1,0,1,True,2,2,1,
521,521,774,"Bright seems alternately amused and disgusted with this material , and he ca n't help throwing in a few of his own touches .",0.57,masc,1,1,1,True,3,3,0,
524,524,3040,The banter between Calvin and his fellow barbers feels like a streetwise McLaughlin Group ... and never fails to entertain .,0.72,masc,1,0,1,True,2,2,1,
525,525,1834,As Warren he stumbles in search of all the emotions and life experiences he 's neglected over the years .,0.49,masc,1,0,1,True,2,2,1,
526,526,6269,He gets his secretary to fax it . '',0.49,masc,1,0,1,True,2,2,1,
527,527,3132,"If you thought Tom Hanks was just an ordinary big-screen star , wait until you 've seen him eight stories tall .",0.6,masc,1,0,1,True,2,2,1,
529,529,1322,"Acting , particularly by Tambor , almost makes `` Never Again '' worthwhile , but ( writer\/director ) Schaeffer should follow his titular advice",0.39,masc,1,0,1,True,2,2,1,
532,532,665,Sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest .,0.28,masc,1,0,1,True,2,2,1,
533,533,7440,"Instead of trying to bust some blondes , ( Diggs ) should be probing why a guy with his talent ended up in a movie this bad .",0.24,masc,1,0,1,True,2,2,1,
535,535,5225,"We hate ( Madonna ) within the film 's first five minutes , and she lacks the skill or presence to regain any ground .",0.26,femm,1,1,1,True,3,3,0,
536,536,3139,"She 's as rude and profane as ever , always hilarious and , most of the time , absolutely right in her stinging social observations .",0.82,femm,1,1,1,True,3,3,0,
537,537,2857,Polanski has found the perfect material with which to address his own World War II experience in his signature style .,0.82,masc,1,1,1,True,3,3,0,
540,540,316,Mr. Koshashvili is a director to watch .,0.83,masc,1,1,1,True,3,3,0,
541,541,125,"In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .",0.68,masc,0,1,1,True,2,2,1,
542,542,5014,"Twenty-three movies into a mostly magnificent directorial career , Clint Eastwood 's efficiently minimalist style finally has failed him .",0.28,masc,1,1,1,True,3,3,0,
543,543,7309,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",0.25,masc,1,1,1,True,3,3,0,
544,544,6888,Robin Williams departs from his fun friendly demeanor in exchange for a darker unnerving role .,0.58,masc,1,1,1,True,3,3,0,
545,545,1070,"I felt sad for Lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier , by Rohmer , for example .",0.49,femm,0,1,1,True,2,2,1,
551,551,1434,"All Ms. Jovovich , as the sanctified heroine , has to do is look radiant , grimly purposeful and mildly alarmed while forcing open doors , wielding wrenches and fleeing monsters .",0.46,femm,1,1,1,True,3,3,0,
552,552,4107,"Please , someone , stop Eric Schaeffer before he makes another film .",0.08,masc,1,1,1,True,3,3,0,
555,555,2871,"The film 's appeal has a lot to do with the casting of Juliette Binoche as Sand , who brings to the role her pale , dark beauty and characteristic warmth .",0.64,femm,1,1,0,True,2,2,1,
559,559,591,Haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you 're not sure if you should applaud or look into having him committed .,0.44,masc,1,0,1,True,2,2,1,
560,560,4217,"The director and her capable cast appear to be caught in a heady whirl of New Age-inspired good intentions , but the spell they cast is n't the least bit mesmerizing .",0.47,femm,1,1,1,True,3,3,0,
563,563,3517,What 's so striking about Jolie 's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,0.74,femm,1,1,1,True,3,3,0,
565,565,827,"( director ) O'Fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short .",0.18,masc,1,0,1,True,2,2,1,
566,566,1099,To say Analyze That is De Niro 's best film since Meet the Parents sums up the sad state of his recent career .,0.42,masc,1,1,1,True,3,3,0,
567,567,4756,( MacDowell ) ventures beyond her abilities several times here and reveals how bad an actress she is .,0.15,femm,1,1,1,True,3,3,0,
568,568,1644,Romanek 's themes are every bit as distinctive as his visuals .,0.82,masc,1,1,1,True,3,3,0,
570,570,2812,"Instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",0.68,femm,1,1,1,True,3,3,0,
572,572,136,Writer\/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,0.75,masc,1,0,1,True,2,2,1,
573,573,2037,The Marquis de Sade could n't have been as dull a person as this film makes him out to be .,0.47,masc,0,1,1,True,2,2,1,
575,575,1784,Aaliyah rarely dampens her diva persona enough to spark genuine chemistry with Townsend .,0.46,femm,1,1,1,True,3,3,0,
576,576,7177,"McKay shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative .",0.17,masc,1,1,1,True,3,3,0,
577,577,5429,"Granddad of Le Nouvelle Vague , Jean-Luc Godard continues to baffle the faithful with his games of hide-and-seek .",0.46,masc,1,1,1,True,3,3,0,
580,580,710,"It 's hard not to be seduced by ( Witherspoon 's ) charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max .",0.79,femm,1,1,1,True,3,3,0,
581,581,7809,"When ( Reno ) lets her radical flag fly , taking angry potshots at George W. Bush , Henry Kissinger , Larry King , et al. , Reno devolves into a laugh-free lecture .",0.39,femm,0,1,1,True,2,2,1,
582,582,7724,"Kapur fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) .",0.38,masc,1,1,1,True,3,3,0,
586,586,3339,It says a lot about a filmmaker when he can be wacky without clobbering the audience over the head and still maintain a sense of urgency and suspense .,0.51,masc,1,1,1,True,3,3,0,
587,587,5990,"Twenty years later , Reggio still knows how to make a point with poetic imagery , but his ability to startle has been stifled by the very prevalence of the fast-forward technology that he so stringently takes to task .",0.5,masc,1,0,1,True,2,2,1,
590,590,2243,"( Dong ) makes a valiant effort to understand everyone 's point of view , and he does such a good job of it that Family Fundamentals gets you riled up .",0.81,masc,1,1,1,True,3,3,0,
593,592,739,"Whether or not you buy Mr. Broomfield 's findings , the film acquires an undeniable entertainment value as the slight , pale Mr. Broomfield continues to force himself on people and into situations that would make lesser men run for cover .",0.72,masc,1,1,1,True,3,3,0,
594,593,584,Eyre is on his way to becoming the American Indian Spike Lee .,0.79,masc,1,1,1,True,3,3,0,
595,594,7063,"It puts Washington , as honest working man John Q. Archibald , on a pedestal , then keeps lifting the pedestal higher .",0.61,masc,0,1,1,True,2,2,1,
596,595,2268,"Nicole Kidman evolved from star to superstar some time over the past year , which means that Birthday Girl is the kind of quirkily appealing minor movie she might not make for a while .",0.78,femm,1,1,0,True,2,2,1,
598,597,1845,"All three actresses are simply dazzling , particularly Balk , who 's finally been given a part worthy of her considerable talents .",0.81,femm,1,1,1,True,3,3,0,
600,599,7044,"The star who helped give a spark to `` Chasing Amy '' and `` Changing Lanes '' falls flat as thinking man CIA agent Jack Ryan in this summer 's new action film , `` The Sum of All Fears . ''",0.22,masc,0,1,1,True,2,2,1,
601,600,6886,"Directed by Kevin Bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut .",0.76,masc,1,1,1,True,3,3,0,
604,603,209,"( Chaiken 's ) talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters .",0.75,femm,1,1,1,True,3,3,0,
605,604,3605,"Sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to Frida Kahlo as if her life did , too .",0.5,femm,0,1,1,True,2,2,1,
606,605,827,"Lohman adapts to the changes required of her , but the actress and director Peter Kosminsky never get the audience to break through the wall her character erects",0.44,femm,0,1,1,True,2,2,1,
609,608,320,"Mr. Tsai is a very original artist in his medium , and What Time Is It There ?",0.83,masc,1,1,1,True,3,3,0,
610,609,1132,"While GuzmÃ¡n frustratingly refuses to give Pinochet 's crimes a political context , his distance from the material is mostly admirable .",0.54,masc,1,1,1,True,3,3,0,
611,610,3068,Greg Kinnear gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior .,0.83,masc,1,1,1,True,3,3,0,
614,613,1100,"Schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .",0.28,masc,1,1,1,True,3,3,0,
615,614,975,"Ramsay is clearly extraordinarily talented , and based on three short films and two features , here 's betting her third feature will be something to behold .",0.82,femm,1,1,1,True,3,3,0,
616,615,2092,"Hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the U.S. -- a major director is emerging in world cinema .",0.82,masc,1,1,1,True,3,3,0,
617,616,4141,"In fact , it does n't even seem like she tried .",0.19,femm,1,1,1,True,3,3,0,
619,618,7232,Bravo reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of Castro so predominantly charitable it can only be seen as propaganda .,0.49,femm,1,1,1,True,3,3,0,
622,621,1648,"The work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims .",0.67,masc,1,1,1,True,3,3,0,
623,622,1437,She boxes these women 's souls right open for us .,0.75,femm,1,1,1,True,3,3,0,
624,623,1655,The viewer takes great pleasure in watching the resourceful Molly stay a step ahead of her pursuers .,0.76,femm,1,1,1,True,3,3,0,
625,624,4989,"Sheridan had a wonderful account to work from , but , curiously , he waters it down , turning grit and vulnerability into light reading .",0.33,masc,1,1,1,True,3,3,0,
626,625,312,"Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .",0.64,masc,0,1,1,True,2,2,1,
631,630,4102,"Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0.58,masc,1,1,1,True,3,3,0,
634,633,102,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",0.61,femm,1,1,1,True,3,3,0,
635,634,6051,"As a director , Eastwood is off his game -- there 's no real sense of suspense , and none of the plot ` surprises ' are really surprising .",0.19,masc,1,1,1,True,3,3,0,
636,635,3927,Move over Bond , this girl deserves a sequel .,0.89,femm,1,1,1,True,3,3,0
638,637,326,"... Tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope .",0.6,femm,1,1,1,True,3,3,0,
641,640,2959,"Instead , he focuses on the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground .",0.6,masc,1,1,1,True,3,3,0,
643,642,3873,If you open yourself up to Mr. Reggio 's theory of this imagery as the movie 's set ... it can impart an almost visceral sense of dislocation and change .,0.78,masc,0,1,1,True,2,2,1,
644,643,1105,"There is no insight into the anguish of Heidi 's life -- only a depiction of pain , today 's version of Greek tragedy , the talk-show guest decrying her fate .",0.6,femm,0,1,1,True,2,2,1,
646,645,3231,"Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .",0.88,femm,0,1,1,True,2,2,1,
647,646,1337,He nonetheless appreciates the art and reveals a music scene that transcends culture and race .,0.82,masc,1,1,1,True,3,3,0,
649,648,919,"Watching War Photographer , you come to believe that Nachtwey hates the wars he shows and empathizes with the victims he reveals .",0.69,masc,0,1,1,True,2,2,1,
650,649,7541,"` In this poor remake of such a well loved classic , Parker exposes the limitations of his skill and the basic flaws in his vision . '",0.11,masc,1,1,1,True,3,3,0,
653,652,1454,"Fontaine 's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal .",0.81,femm,1,1,1,True,3,3,0,
654,653,5790,"once she lets her love depraved leads meet , ( Denis ' ) story becomes a hopeless , unsatisfying muddle",0.18,femm,0,1,1,True,2,2,1,
655,654,4653,"Weirdly , Broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",0.24,masc,1,1,1,True,3,3,0,
